ID Product,Active(0/1),Nom*,"Catégories (x,y,z...)",Prix TTC,"ID règle de taxes
","Prix d'achat
","En soldes (0/1)
","Montant de la remise
","Pourcentage de réduction
","Pourcentage de réduction
","Réduction de (AAAA-MM-JJ)
","Réduction à (AAAA-MM-JJ)
",Reference,"Référence fournisseur
","Fournisseurs
","Marque
",EAN13,UPC,MPN,Eco participation,Width,Height,Depth,Weight,Delivery Time In Stock,Delivery Time Out Of Stock,Quantity,Product Minimal Quantity,Low Stock Level,Email Notification Level,Visibility,Additional Shipping Cost,Unity,Unit Price,Summary,Product Description,"Keywords (x,y,z...)",,Meta Keywords,Product Meta Description,URL Rewritten,Text When In Stock,"Disponible à la commande (0 = Non, 1 = Oui)",Product Available Date,Product Creation Date,Show Price,URL Image,Image Alt,Delete Existing Images,Caractéristique (Nom:Valeur:Position:Personnalisé),Available Online Only,Customizable,Uploadable Files,Text Fields,Out Of Stock Action,Virtual Product,File URL,Number of Allowed Downloads,Expiration Date,Number of Days,ID Shop,Advanced Stock Management,Depends On Stock,Warehouse,Accessories
1536,1,SVR SEBIACLEAR GEL MOUSSANT 400ML,Visage,"49,775 TND",,,,,20%,20%,,,,,,SVR,,,,,,,,,,,50,1,,,,,TND,TND,,"
Gel moussant Sébiaclear de SVR, le soin quotidien pour nettoyer les peaux sensibles mixtes à grasses du visage.",,,,Profitez du meilleur prix sur SVR SEBIACLEAR GEL MOUSSANT 400ML en Tunisie. Votre parapharmacie en ligne n°1,,Disponible,1,,,1,https://pharma-shop.tn/15782-home_default/svr-sebiaclear-gel-moussant-400ml.webp,SVR SEBIACLEAR GEL MOUSSANT 400ML-pharmashop,,,,,,,,,https://pharma-shop.tn/nettoyage/1536-svr-sebiaclear-gel-moussant-400ml-3662361003402.html,,,,,,,,
2241,1,NOVEXPERT FLASH ECLAT MOUSSE NETTOYANTE 150ML,Visage,"62,454 TND",,,,,30%,30%,,,,,,Novexpert,,,,,,,,,,,50,1,,,,,TND,TND,,"une mousse aérienne qui enlève en douceur maquillage, excès de sébum et traces de pollution.

Un effet peau neuve &amp; éclat étonnant grâce à une action micro-peeling ultra douce.",,,,Profitez du meilleur prix sur NOVEXPERT FLASH ECLAT MOUSSE NETTOYANTE 150ML en Tunisie. Votre parapharmacie en ligne n°1,,Disponible,1,,,1,https://pharma-shop.tn/11929-home_default/mousse-nettoyante-flash-eclat-200ml.jpg,"Novexpert Mousse Nettoyante Flash Eclat, 150ml",,,,,,,,,https://pharma-shop.tn/lait-mousse-emulsion/2241-mousse-nettoyante-flash-eclat-200ml-3661467000681.html,,,,,,,,
1483,1,PHARMACERIS W PURI-ALBUCIN MOUSSE NETTOYANTE...,Visage,"38,336 TND",,,,,30%,30%,,,,,,PHARMACERIS,,,,,,,,,,,50,1,,,,,TND,TND,,"

Nettoie en douceur la peau tout en éliminant les impuretés et les résidus de maquillage avec effet éclaircissant.",,,,"Profitez du meilleur prix sur PHARMACERIS W PURI-ALBUCIN MOUSSE NETTOYANTE ECLAIRCISSANTE, 150ML en Tunisie. Votre parapharmacie en ligne n°1",,Disponible,1,,,1,https://pharma-shop.tn/3764-home_default/pharmaceris-w-purialbucin-mousse.jpg,"PHARMACERIS W PURI-ALBUCIN MOUSSE NETTOYANTE ECLAIRCISSANTE, 150ml",,,,,,,,,https://pharma-shop.tn/lait-mousse-emulsion/1483-pharmaceris-w-purialbucin-mousse-5900717147010.html,,,,,,,,
4411,1,DERMEDIC HYDRAIN 3 EAU MICELLAIRE 500 ML,Visage,"27,333 TND",,,,,25%,25%,,,,,,DERMEDIC,,,,,,,,,,,50,1,,,,,TND,TND,,"

Il enlève le maquillage et toutes les impuretés, vous laissant une sensation de fraîcheur et de propreté Il adoucit et maintient l'hydratation de la couche cornée Il ne bouche pas les pores et laisse le film sur la peau Il n'irrite pas les yeux Testé ophtalmologiquement hypoallergénique.",,,,Profitez du meilleur prix sur DERMEDIC HYDRAIN 3 EAU MICELLAIRE 500 ML en Tunisie. Votre parapharmacie en ligne n°1,,Disponible,1,,,1,https://pharma-shop.tn/6482-home_default/dermedic-hydrain-3-eau-micellaire-500-ml.jpg,DERMEDIC HYDRAIN 3 EAU MICELLAIRE,,,,,,,,,https://pharma-shop.tn/eau-tonique-lotion/4411-dermedic-hydrain-3-eau-micellaire-500-ml-5901643174569.html,,,,,,,,
2091,1,"SVR TOPIALYSE GEL LAVANT FLACON POMPE, 1L",Visage,"47,209 TND",,,,,20%,20%,,,,,,SVR,,,,,,,,,,,50,1,,,,,TND,TND,,"Ce gel nettoie en douceur tout en&nbsp;&nbsp;protégeant les peaux sensibles et sèches&nbsp;de la tête aux pieds&nbsp;de toute la famille.

Il se caractérise par un&nbsp;format familial d'1L.",,,,"Profitez du meilleur prix sur SVR TOPIALYSE GEL LAVANT FLACON POMPE, 1L en Tunisie. Votre parapharmacie en ligne n°1",,Disponible,1,,,1,https://pharma-shop.tn/13073-home_default/topialyse-gel-lavant-flacon-pompe-1l.jpg,"SVR TOPIALYSE GEL LAVANT FLACON POMPE, 1L",,,,,,,,,https://pharma-shop.tn/gel-creme-huile/2091-topialyse-gel-lavant-flacon-pompe-1l-3662361001866.html,,,,,,,,
11094,1,SVR SEBIACLEAR GEL MOUSSANT RECHARGE 400ML,Visage,"49,890 TND",,,,,25%,25%,,,,,,SVR,,,,,,,,,,,50,1,,,,,TND,TND,,"SEBIACLEAR est la nouvelle gamme révolutionnaire de SVR qui élimine les boutons, les points noirs et l'excès de sébum. Une haute efficacité associée à une tolérance optimale, le plaisir d’utilisation en plus.

",,,,Profitez du meilleur prix sur SVR SEBIACLEAR GEL MOUSSANT RECHARGE 400ML en Tunisie. Votre parapharmacie en ligne n°1,,Disponible,1,,,1,https://pharma-shop.tn/17421-home_default/svr-sebiaclear-gel-moussant-recharge-400-ml.webp,SVR SEBIACLEAR GEL MOUSSANT RECHARGE 400 ML pharmashop,,,,,,,,,https://pharma-shop.tn/gel-creme-huile/11094-svr-sebiaclear-gel-moussant-recharge-400-ml-3662361003112.html,,,,,,,,
5295,1,SVR AMPOULE ANTI OX VITAMINE C 20% 30ML TOUS...,Visage,"119,598 TND",,,1,,20%,20%,,,,,,SVR,,,,,,,,,,,50,1,,,,,TND,TND,,"

L'ampoule&nbsp;Anti-Ox&nbsp;Vitamine C&nbsp;20%&nbsp;convient à tous les types de&nbsp;peaux. &nbsp; 
Elle permet de recharger la peau et de réguler la synthèse de mélanine.  
 ",,,,Profitez du meilleur prix sur SVR AMPOULE ANTI OX VITAMINE C 20% 30ML TOUS TYPES DE PEAUX en Tunisie. Votre parapharmacie en ligne n°1,,Disponible,1,,,1,https://pharma-shop.tn/6998-home_default/svr-anti-ox-vtamine-c-20-30ml-tous-types-de-peaux.webp,SVR ANTI OX VTAMINE C 20% 30ML TOUS TYPES DE PEAUX SVR,,,,,,,,,https://pharma-shop.tn/soins-anti-taches-et-depigmentants/5295-svr-anti-ox-vtamine-c-20-30ml-tous-types-de-peaux-3662361000401.html,,,,,,,,
1710,1,PHARMACERIS F FOND DE TEINT SPF 50+ (02 SAND) 30ML,Visage,"59,230 TND",,,,,35%,35%,,,,,,PHARMACERIS,,,,,,,,,,,50,1,,,,,TND,TND,,"Fond de teint SPF 50+ SAND (02):

Protection correctrices pour tous types de peaux.

Contenance: 30ml",,,,Profitez du meilleur prix sur PHARMACERIS F FOND DE TEINT SPF 50+ (02 SAND) 30ML en Tunisie. Votre parapharmacie en ligne n°1,,Disponible,1,,,1,https://pharma-shop.tn/10706-home_default/pharmaceris-f-fond-de-teint-spf-50-02-sand-30ml.jpg,PHARMACERIS F FOND DE TEINT SPF 50+ (02 SAND) 30ML,,,,,,,,,https://pharma-shop.tn/protection-superieure-a-spf-50/1710-pharmaceris-f-fond-de-teint-spf-50-02-sand-30ml-5900717154216.html,,,,,,,,
891,1,SVR SEBIACLEAR ACTIVE GEL CORRECTEUR INTENSIF 40ML,Visage,"48,355 TND",,,,,20%,20%,,,,,,SVR,,,,,,,,,,,50,1,,,,,TND,TND,,"

Pour les peaux sensibles à tendance acnéique, imperfections sévères.",,,,Profitez du meilleur prix sur SVR SEBIACLEAR ACTIVE GEL CORRECTEUR INTENSIF 40ML en Tunisie. Votre parapharmacie en ligne n°1,,Disponible,1,,,1,https://pharma-shop.tn/21440-home_default/svr-sebiaclear-active-gel-correcteur-intensif-40ml.jpg,SVR SEBIACLEAR ACTIVE GEL CORRECTEUR INTENSIF 40ML-pharmashop,,,,,,,,,https://pharma-shop.tn/soins-specifiques/891-svr-sebiaclear-active-gel-correcteur-intensif-40ml-3662361001835.html,,,,,,,,
855,1,"PAPULEX GEL NETTOYANT MOUSSANT, 150ML",Visage,"47,866 TND",,,,,25%,25%,,,,,,ALLIANCE,,,,,,,,,,,50,1,,,,,TND,TND,,"

Gel moussant purifiant pour l’hygiène du visage et du corps, peaux jeunes à problèmes, à tendance acnéique, pour l’acné inflammatoire léger à modéré.",,,,"Profitez du meilleur prix sur PAPULEX GEL NETTOYANT MOUSSANT, 150ML en Tunisie. Votre parapharmacie en ligne n°1",,Disponible,1,,,1,https://pharma-shop.tn/21163-home_default/papulex-gel-nettoyant-moussant-150ml.jpg,"PAPULEX GEL NETTOYANT MOUSSANT,150ML-pharmashop",,,,,,,,,https://pharma-shop.tn/nettoyage/855-papulex-gel-nettoyant-moussant-150ml-3401376239228.html,,,,,,,,
